system:index,landcover,19-1_swir2,19-2_swir2,20-1_swir2,20-2_swir2,21-1_swir2,21-2_swir2,22-1_swir2,22-2_swir2,23-1_swir2,23-2_swir2
000000000000000005fd_0,0,0.0233,0.0133,0.0155,0.0171,0.0169,0.0151,0.0181,0.0131,0.0166499999999999,0.0143
000000000000000002f1_0,0,0.0854,0.0107,0.0055,0.0336,0.0077,0.02035,0.01065,0.02735,0.0282,0.0073
0000000000000000009c_0,0,0.0639,0.051,0.0655,0.0489,0.0629,0.0424,0.0791,0.03485,0.0438,0.0486
0000000000000000025c_0,0,0.09805,0.1649,0.2009,0.2763,0.3209,0.2,0.25345,0.1755,0.2279,0.1732
00000000000000000213_0,0,0.19855,0.1831,0.2375,0.2144,0.2007,0.1819,0.187,0.18265,0.2015,0.1596
00000000000000000217_0,0,0.15955,0.17565,0.1622,0.1714,0.16005,0.1223,0.1439,0.1445,0.1378,0.2471
00000000000000000582_0,0,0.1195,0.08105,0.12015,0.1449,0.0994,0.1362,0.10175,0.13405,0.1322,0.12275
000000000000000000d2_0,0,0.0117,0.0071,0.0056,0.01765,0.0225,0.0163,0.0085,0.0198,0.0138,0.009
0000000000000000084c_0,0,0.059,0.0683,0.0725,0.06345,0.0951,0.0678,0.068,0.0584,0.06835,0.07495
000000000000000002a3_0,0,0.0128,0.01015,0.0269,0.0198,0.0138,0.0215,0.01075,0.0298,0.0172,0.0065
00000000000000000836_0,0,0.1526,0.1218,0.1697,0.1216,0.1546,0.0987,0.1328,0.10135,0.1752,0.10575
00000000000000000581_0,0,0.1865,0.1259,0.2027,0.1619,0.21315,0.11245,0.1701,0.1346,0.19095,0.1136
00000000000000000620_0,0,0.0057,0.00755,0.0054,0.01875,0.0069,0.0069,0.0145,0.02275,0.033,0.0049
0000000000000000068e_0,0,0.0429,0.01085,0.0051,0.0174,0.0065,0.01725,0.01,0.0185,0.0158,0.006
00000000000000000574_0,0,0.0464,0.00805,0.00775,0.022,0.009,0.0099,0.0106,0.00775,0.0542,0.0072
000000000000000008f5_0,0,0.02085,0.00535,0.0075,0.0066,0.0052,0.0064,0.0103,0.0052,0.0064,0.0075
0000000000000000010e_0,0,0.0459,0.01595,0.0246,0.0131,0.034,0.0175,0.025,0.0581,0.04975,0.0255
000000000000000001e4_0,0,0.0572,0.0087,0.006,0.0146,0.0062,0.01465,0.016,0.02165,0.0126,0.0062
00000000000000000886_0,0,0.0121,0.0099,0.0211,0.0138,0.0104,0.0121,0.0235,0.01125,0.0077,0.0124
00000000000000000206_0,0,0.17685,0.10455,0.1838,0.0981,0.16925,0.1109,0.2145,0.1195,0.14485,0.1082
000000000000000005a5_0,0,0.1772,0.0746,0.0806,0.0744,0.10125,0.09445,0.07365,0.0578,0.0693,0.0676
00000000000000000052_0,0,0.0112,0.0056,0.0107,0.0189,0.0246,0.0116,0.0112,0.02405,0.0218,0.0093
00000000000000000546_0,0,0.1878,0.1221,0.17715,0.1182,0.1484,0.12205,0.1419,0.0997,0.1524,0.1551
00000000000000000979_0,0,0.0684,0.0505,0.1305,0.07245,0.3279,0.2951,0.3105,0.2792,0.212,0.14415
00000000000000000a27_0,0,0.0072,0.0123,0.01565,0.01325,0.0125,0.0135,0.0139,0.0107,0.0127,0.0104
000000000000000001ac_0,0,0.1463,0.1296,0.1534,0.15985,0.147,0.1765,0.174,0.1553,0.1717,0.1740499999999999
0000000000000000097a_0,0,0.1458499999999999,0.1389,0.13105,0.1342,0.12855,0.182,0.2307,0.1985,0.21885,0.17225
000000000000000001ed_0,0,0.2015,0.1517,0.2096,0.2035,0.1737,0.1523,0.2023,0.1663,0.232,0.2084
000000000000000004a2_0,0,0.1124,0.11,0.15215,0.10135,0.11925,0.0896,0.1194,0.0929,0.11985,0.0957
00000000000000000867_0,0,0.20955,0.17625,0.18185,0.1924,0.21015,0.1592,0.1714999999999999,0.30145,0.3611499999999999,0.21805
000000000000000000f9_0,0,0.0929,0.0683,0.0601,0.0685,0.0625,0.0566,0.0283,0.0121999999999999,0.01165,0.0255
0000000000000000017d_0,0,0.1221,0.1262,0.1468,0.1174,0.1206,0.1348,0.1174,0.12705,0.1184,0.1521
00000000000000000180_0,0,0.0434,0.06405,0.0716,0.0742,0.1068,0.0889,0.0648,0.05935,0.1744,0.18735
0000000000000000054a_0,0,0.0814,0.08405,0.0974,0.078,0.10435,0.07555,0.0835,0.06905,0.0864,0.0687
00000000000000000585_0,0,0.1605,0.1437,0.1765,0.1545,0.1545,0.13095,0.149,0.14565,0.1573,0.11855
0000000000000000061e_0,0,0.0146,0.00835,0.0058,0.007,0.0057,0.0069,0.0075,0.0138,0.0151,0.0058
000000000000000001e1_0,0,0.1889,0.0188,0.0383,0.01695,0.046,0.01805,0.06435,0.0523,0.0574,0.00995
000000000000000002e8_0,0,0.03745,0.01815,0.0121,0.028,0.0059,0.0216,0.021,0.04,0.0318,0.0081
00000000000000000578_0,0,0.17695,0.122,0.2401,0.1459,0.20005,0.13335,0.2151,0.1413,0.2323,0.1712
000000000000000005ea_0,0,0.0103,0.00665,0.0067,0.01575,0.0207,0.0094,0.0099,0.0256,0.009,0.0065
000000000000000000bf_0,0,0.0808,0.0184,0.03765,0.01725,0.031,0.0373,0.0398,0.008,0.03265,0.0381
000000000000000002c5_0,0,0.2011,0.1764,0.2026,0.187,0.1556,0.1821,0.1908,0.18465,0.191,0.1687
00000000000000000503_0,0,0.1235,0.1055,0.1297,0.1014,0.10075,0.0949,0.10305,0.08695,0.102,0.09115
000000000000000005c6_0,0,0.00715,0.0067,0.0051,0.0112,0.0049,0.00565,0.0124,0.00755,0.0088,0.0072
0000000000000000069b_0,0,0.0699,0.0087,0.0043,0.0328,0.00495,0.00565,0.0178,0.03235,0.035,0.0048
0000000000000000008e_0,0,0.1414,0.1078,0.1449,0.126,0.1341,0.1231,0.1352,0.12755,0.1375,0.11425
