system:index,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1,blue_S2_2,green_S2_2,landcover_S2_2,nir_S2_2,red_S2_2,swir1_S2_2,swir2_S2_2
00000000000000000018_0,0.0242,0.0591,0,0.3188,0.0387,0.2031,0.0945,0.0372,0.062,0,0.4375,0.0408,0.1854,0.0869
00000000000000000019_0,0.07595,0.10325,0,0.108,0.09875,0.09735,0.05045,0.0294,0.037,0,0.0138,0.0251,0.0097,0.0073
0000000000000000001a_0,0.0934,0.1169,0,0.0516,0.1159,0.0173,0.0124,0.0784,0.1095,0,0.01975,0.08885,0.01345,0.0129
0000000000000000001b_0,0.07335,0.0904,0,0.03005,0.0695,0.01635,0.0129,0.0903,0.1161,0,0.03175,0.0873,0.01615,0.0118
0000000000000000001c_0,0.0908,0.1022,0,0.1595,0.1009,0.1409,0.1106,0.09075,0.1032,0,0.15335,0.10295,0.14215,0.1121
0000000000000000001e_0,0.07085,0.09675,0,0.011,0.05515,0.0059,0.00605,0.0989,0.1239,0,0.0442,0.0975,0.0209,0.0168
0000000000000000001f_0,0.04265,0.0586,0,0.34015,0.03505,0.1584,0.0684,0.0432,0.0507,0,0.3898,0.031,0.1587,0.0682
00000000000000000020_0,0.1056,0.1239,0,0.1344,0.1214,0.0836,0.0552,0.0736,0.089,0,0.0328,0.05475,0.02695,0.0232
00000000000000000022_0,0.04725,0.06625,0,0.1102,0.05245,0.08895,0.0531,0.0446,0.0623,0,0.1167,0.0507,0.0818,0.0464
00000000000000000025_0,0.06775,0.0849,0,0.1887,0.0875,0.22835,0.16365,0.08525,0.1065,0,0.2988,0.12125,0.2621,0.1808
00000000000000000026_0,0.03785,0.06225,0,0.2907,0.04675,0.2004,0.1159,0.0535,0.0853,0,0.4488,0.04835,0.23255,0.1119
00000000000000000027_0,0.08015,0.09495,0,0.12175,0.0806,0.10855,0.0794,0.035,0.0523,0,0.0933,0.0387,0.0573,0.0375
0000000000000000002a_0,0.05055,0.0766,0,0.3654,0.05685,0.22285,0.11595,0.0362,0.0662,0,0.4408,0.0362,0.2036,0.0953
0000000000000000002b_0,0.0685,0.10175,0,0.07355,0.1134,0.01125,0.00895,0.0816,0.1176,0,0.08065,0.12565,0.01415,0.0111
0000000000000000002c_0,0.0732,0.0926,0,0.3016,0.0838,0.1708,0.0985,0.0287,0.04535,0,0.29425,0.03325,0.1473,0.06645
0000000000000000002d_0,0.08105,0.1072,0,0.0279,0.06985,0.0105,0.0076,0.0865,0.1187,0,0.02865,0.089,0.01485,0.0128
0000000000000000002e_0,0.10055,0.11975,0,0.20505,0.1175,0.1541,0.1044,0.0426,0.0752,0,0.12425,0.0549,0.07925,0.0485
0000000000000000002f_0,0.06175,0.072,0,0.0225,0.03665,0.00895,0.0069,0.0814,0.1084,0,0.02835,0.06055,0.021,0.0181
00000000000000000030_0,0.0396,0.0555,0,0.21145,0.0381,0.15915,0.098,0.0369,0.0558,0,0.2469,0.0404,0.1857,0.1106
00000000000000000033_0,0.1025,0.1095,0,0.1007,0.1071,0.0991,0.0859,0.09285,0.1045,0,0.09605,0.10145,0.09445,0.0836
00000000000000000034_0,0.0613,0.0893,0,0.2732,0.0885,0.2378,0.1734,0.04565,0.06725,0,0.29825,0.0588,0.21065,0.1397
00000000000000000035_0,0.0964,0.1103,0,0.1105,0.101,0.0783,0.0484,0.11815,0.1304,0,0.13515,0.13405,0.1282,0.10305
00000000000000000036_0,0.136,0.172,0,0.2801,0.1844,0.2867,0.2502,0.1561,0.186,0,0.3121,0.2056,0.3384,0.2836
00000000000000000037_0,0.132,0.1765,0,0.28115,0.20795,0.30565,0.2729,0.12215,0.1478,0,0.1905,0.1563,0.1898,0.16295
00000000000000000038_0,0.0646,0.0877,0,0.2404,0.0981,0.27125,0.18185,0.0721,0.1085,0,0.3296,0.1091,0.3075,0.1924
00000000000000000039_0,0.08635,0.10405,0,0.1839,0.09895,0.13965,0.09215,0.0543,0.07545,0,0.2471,0.06585,0.14965,0.09155
0000000000000000003a_0,0.08005,0.1077,0,0.0255,0.0836,0.01455,0.01115,0.0826,0.1125,0,0.0255,0.079,0.0158,0.0122
0000000000000000003e_0,0.1262,0.1542,0,0.1884,0.1661,0.2237,0.2045,0.0991,0.1162,0,0.1736,0.1491,0.1731,0.1444
00000000000000000040_0,0.11745,0.12095,0,0.07905,0.0895,0.05505,0.04415,0.0909,0.1178,0,0.0709,0.0933,0.0748,0.0677
00000000000000000041_0,0.0838,0.1234,0,0.0375,0.101,0.019,0.0132,0.0771,0.1148,0,0.0309,0.0872,0.0171,0.0147
00000000000000000042_0,0.0903,0.1029,0,0.0279,0.0587,0.0142,0.0118,0.08145,0.091,0,0.01805,0.05615,0.0145,0.0139
00000000000000000043_0,0.1565,0.146,0,0.26665,0.13995,0.2758,0.2497,0.1799,0.1622,0,0.2924,0.1606,0.2537,0.2375
00000000000000000044_0,0.09015,0.1021,0,0.0307,0.06455,0.0115,0.00705,0.0688,0.0809,0,0.0138,0.0401,0.0061,0.0056
00000000000000000045_0,0.0704,0.101,0,0.081,0.106,0.0763,0.0661,0.09365,0.1206,0,0.0675,0.10895,0.04485,0.03645
