system:index,blue_L8_1,green_L8_1,landcover_L8_1,nir_L8_1,red_L8_1,swir1_L8_1,swir2_L8_1,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1
000000000000000001a9_0,0.0633000000000001,0.0885800000000001,0,0.36014,0.0796200000000001,0.21346,0.11804,0.0171,0.0385,0,0.307,0.0392,0.1712,0.0895
000000000000000001aa_0,0.02612,0.0584400000000001,0,0.29012,0.0384,0.13436,0.0571200000000001,0.0401,0.06175,0,0.36735,0.03745,0.1413,0.05955
000000000000000001b0_0,0.13156,0.16096,0,0.08712,0.14536,0.0472400000000001,0.0397600000000001,0.08575,0.1273,0,0.16785,0.1327,0.1443,0.08465
000000000000000001b1_0,0.051,0.08302,0,0.22542,0.08148,0.1777,0.09348,0.0502,0.0644,0,0.1353,0.0551,0.1209,0.07
000000000000000001b4_0,0.13056,0.15148,0,0.27956,0.16592,0.37984,0.26908,0.11125,0.1316,0,0.23505,0.16075,0.3388,0.25615
000000000000000001b5_0,0.0541200000000001,0.12104,0,0.0333600000000001,0.0911600000000001,0.0264800000000001,0.01924,0.0717,0.1067,0,0.0307,0.0858,0.0204,0.0152
000000000000000001b8_0,0.0668800000000001,0.0999200000000001,0,0.40932,0.10208,0.25816,0.14416,0.0654,0.0858,0,0.3357,0.1172,0.2365,0.1534
000000000000000001ba_0,0.0831000000000001,0.12138,0,0.3027,0.12036,0.26096,0.17546,0.0601,0.0896,0,0.2427,0.0953,0.1877,0.1318
000000000000000001bb_0,0.126,0.17416,0,0.0963600000000001,0.14856,0.0846000000000001,0.0721600000000001,0.06695,0.1007,0,0.0419,0.10575,0.0077,0.00665
000000000000000001bc_0,0.14708,0.1852,0,0.31416,0.21204,0.31792,0.27664,0.1357,0.16165,0,0.2278,0.17865,0.2322,0.2195
000000000000000001bd_0,0.10784,0.1898,0,0.53112,0.201,0.4394,0.31428,0.1059,0.1379,0,0.3143,0.1407,0.3251,0.284
0000000000000000007c_0,0.04184,0.0678800000000001,0,0.35284,0.05544,0.16976,0.0781600000000001,0.0222,0.0388,0,0.2729,0.0261,0.1721,0.0791
0000000000000000011f_0,0.05836,0.09172,0,0.06648,0.0755600000000001,0.0313600000000001,0.02308,0.0222,0.0557,0,0.0169,0.0287,0.0159,0.0136
00000000000000000161_0,0.0476400000000001,0.0765600000000001,0,0.30004,0.05964,0.18508,0.09672,0.0314,0.0504,0,0.2719,0.03515,0.13565,0.06375
000000000000000000bc_0,0.0675800000000001,0.0833400000000001,0,0.28716,0.0639400000000001,0.14768,0.07434,0.0358,0.0489,0,0.2065,0.0373,0.1505,0.0928
00000000000000000068_0,0.0649800000000001,0.09118,0,0.36294,0.0722400000000001,0.23386,0.11576,0.0364,0.057,0,0.1775,0.0409,0.1449,0.08
0000000000000000014c_0,0.0461200000000001,0.09612,0,0.46716,0.0592,0.22752,0.10332,0.0364,0.05585,0,0.21235,0.04425,0.1662,0.09495
000000000000000000be_0,0.07236,0.097,0,0.3504,0.0703200000000001,0.16332,0.08212,0.0372,0.0556,0,0.26505,0.0395,0.14415,0.07705
00000000000000000151_0,0.0897600000000001,0.1078,0,0.0419600000000001,0.0701200000000001,0.01592,0.0096,0.0389,0.0533,0,0.01915,0.031,0.01725,0.0131
00000000000000000121_0,0.03658,0.0726000000000001,0,0.35384,0.0520600000000001,0.21442,0.10236,0.041,0.05875,0,0.2848,0.0474,0.16995,0.08315
0000000000000000011d_0,0.03388,0.0818800000000001,0,0.0308000000000001,0.0552,0.0131600000000001,0.00936,0.0435,0.0707,0,0.0135,0.0477,0.0102,0.0081
000000000000000001b6_0,0.0515200000000001,0.0742,0,0.33824,0.0523600000000001,0.13808,0.0546,0.0435,0.0572,0,0.3387,0.0364,0.1617,0.0682
0000000000000000000b_0,0.06238,0.09226,0,0.39616,0.08124,0.2634,0.13426,0.0464,0.0602,0,0.2705,0.0483,0.1939,0.0996
00000000000000000110_0,0.0630600000000001,0.10762,0,0.47022,0.0800400000000001,0.27728,0.13328,0.0478,0.0716,0,0.3009,0.05355,0.193,0.1015
0000000000000000006d_0,0.07236,0.10832,0,0.07092,0.0919200000000001,0.05876,0.0472400000000001,0.0482,0.06025,0,0.0428,0.0476,0.03445,0.0266
0000000000000000014a_0,0.07792,0.11576,0,0.43828,0.09224,0.24716,0.13152,0.0482,0.0839,0,0.3058,0.0687,0.1787,0.1032
00000000000000000113_0,0.0686800000000001,0.11144,0,0.23724,0.0955200000000001,0.18316,0.1322,0.0487,0.06855,0,0.1139,0.061,0.10755,0.07055
00000000000000000118_0,0.0509600000000001,0.0945200000000001,0,0.245,0.07136,0.12292,0.05976,0.0487,0.07745,0,0.1463,0.0667,0.104,0.0601
0000000000000000015a_0,0.0856400000000001,0.11164,0,0.38536,0.0953200000000001,0.254,0.13328,0.0487,0.0687,0,0.3215,0.0447,0.1864,0.0969
000000000000000000cb_0,0.10792,0.16712,0,0.11096,0.15416,0.0828800000000001,0.0691200000000001,0.0496,0.0851,0,0.0228,0.0541,0.013,0.0096
000000000000000000fa_0,0.0542,0.1018,0,0.045,0.0711600000000001,0.0167600000000001,0.01236,0.0496,0.076,0,0.0177,0.0504,0.012,0.0082
