system:index,landcover,19-1_blue,19-2_blue,20-1_blue,20-2_blue,21-1_blue,21-2_blue,22-1_blue,22-2_blue,23-1_blue,23-2_blue
00000000000000000882_0,0,0.0343,0.02695,0.0369,0.0247,0.03645,0.0344,0.0389,0.0278,0.048,0.0301
00000000000000000060_0,0,0.02285,0.027,0.0372,0.02625,0.0335499999999999,0.024,0.02855,0.0363,0.0398,0.03735
0000000000000000095c_0,0,0.0765,0.04745,0.0372,0.0414,0.0412,0.0355,0.0409,0.0317,0.0313,0.0364
000000000000000004c9_0,0,0.04165,0.03235,0.0373,0.05125,0.0442,0.04955,0.0535,0.04425,0.054,0.0416
00000000000000000914_0,0,0.0819,0.0494,0.03745,0.0488,0.0627,0.1430999999999999,0.148,0.1209,0.1305,0.1356
0000000000000000015f_0,0,0.0425,0.0505,0.0375,0.0587,0.0648,0.057,0.0973,0.0502,0.0738,0.0449
000000000000000001e3_0,0,0.0679,0.057,0.0376,0.0654,0.0516,0.0446,0.052,0.0513999999999999,0.0816,0.0406
00000000000000000941_0,0,0.0485,0.03435,0.0376,0.0226,0.0259,0.0214,0.0273,0.0241,0.0302,0.0216
00000000000000000010_0,0,0.0442,0.0272,0.0377,0.0248,0.0613,0.034,0.0317,0.019,0.0435,0.0381
00000000000000000063_0,0,0.06525,0.0563,0.0377,0.0425,0.0443,0.03275,0.0465,0.0343,0.0445,0.0297
000000000000000008f2_0,0,0.0364,0.0358,0.0377,0.0367,0.0315,0.0284,0.03,0.02565,0.03145,0.04445
00000000000000000859_0,0,0.03415,0.03655,0.03785,0.0535,0.04255,0.0436,0.03815,0.0336,0.0406,0.0296
00000000000000000000_0,0,0.0609,0.04165,0.03795,0.0329,0.047,0.04075,0.0664,0.0465,0.0541,0.0566
0000000000000000045d_0,0,0.052,0.0338,0.038,0.03475,0.038,0.0328,0.0387,0.0317,0.0509,0.0325
00000000000000000435_0,0,0.029,0.02205,0.038,0.0275,0.02455,0.0234,0.03255,0.0291,0.0474,0.0461
00000000000000000039_0,0,0.0393,0.036,0.0381,0.0295,0.0467,0.02565,0.0375,0.04255,0.0394,0.0322
00000000000000000456_0,0,0.0416,0.0345,0.03815,0.0308,0.031,0.031,0.0268,0.0235,0.02715,0.0267
00000000000000000917_0,0,0.1562,0.0413,0.03815,0.0428,0.043,0.0369,0.0503,0.0368,0.0389,0.0345
00000000000000000064_0,0,0.0367,0.0537,0.0382,0.0409,0.0372,0.04405,0.0484,0.0401,0.0557,0.0513
00000000000000000188_0,0,0.05055,0.0492,0.0382,0.0481,0.04755,0.04125,0.045,0.03755,0.0484,0.0409
0000000000000000084e_0,0,0.029,0.04865,0.0382,0.0325,0.033,0.0255,0.0299,0.0305,0.0259,0.0249
00000000000000000253_0,0,0.0453,0.0451,0.0383,0.04875,0.0508,0.06155,0.065,0.0484,0.0651,0.0803
00000000000000000058_0,0,0.0443,0.032,0.0384,0.03145,0.0364,0.0343,0.04105,0.0338,0.03335,0.027
000000000000000000f5_0,0,0.0761,0.0582,0.0384,0.043,0.079,0.0353,0.0476,0.04165,0.0473,0.0282
0000000000000000017e_0,0,0.04555,0.05145,0.0384,0.0513,0.0634,0.04495,0.0509,0.04685,0.0479,0.0567
000000000000000004a0_0,0,0.0399,0.0505,0.0384,0.0414,0.042,0.0334,0.0431,0.0409,0.038,0.0326
00000000000000000061_0,0,0.0279,0.0425,0.0385,0.0365,0.03555,0.0293,0.041,0.06935,0.0608,0.06515
000000000000000004c5_0,0,0.0451,0.0437,0.0385,0.0437,0.0358,0.0312,0.0324,0.0268,0.0332999999999999,0.02945
000000000000000005da_0,0,0.0453,0.0418,0.0385,0.0667,0.0545,0.0515,0.0594,0.0505,0.0508,0.0382
00000000000000000a54_0,0,0.0334,0.0381,0.03865,0.0402,0.03375,0.0359,0.03285,0.0359499999999999,0.0302,0.0268
0000000000000000008f_0,0,0.04255,0.0336,0.0387,0.03545,0.0362,0.035,0.0342,0.0276,0.0527,0.0997
00000000000000000838_0,0,0.07045,0.0475,0.0387,0.07465,0.0443,0.0452,0.0422,0.03645,0.0844,0.042
0000000000000000000a_0,0,0.04705,0.0295,0.0388,0.02135,0.0405,0.0439,0.0332,0.01805,0.0315,0.0311
000000000000000008e0_0,0,0.0373,0.0406,0.03885,0.0395,0.0324,0.02865,0.0265,0.02555,0.0598,0.0248
000000000000000000a5_0,0,0.04525,0.05225,0.0389,0.0524,0.0579,0.0578,0.04375,0.0323,0.0592,0.0326
0000000000000000095d_0,0,0.0563,0.07255,0.0389,0.0654,0.05095,0.0567,0.0665,0.0576,0.0501,0.0555
0000000000000000095e_0,0,0.04935,0.0606,0.0389,0.0546,0.0457,0.033,0.079,0.0414,0.03875,0.0411
0000000000000000044e_0,0,0.0772,0.04215,0.0391,0.0301,0.0401,0.02975,0.03545,0.036,0.0429,0.0367
