system:index,landcover,19-1_red,19-2_red,20-1_red,20-2_red,21-1_red,21-2_red,22-1_red,22-2_red,23-1_red,23-2_red
00000000000000000112_0,0,0.0424999999999999,0.0542,0.056,0.0733,0.1009,0.1237,0.1229,0.0879,0.1001,0.0882
00000000000000000126_0,0,0.0594,0.0407,0.0462,0.0467,0.056,0.0387,0.0402,0.03465,0.0396,0.0665
000000000000000004a4_0,0,0.0536,0.05695,0.0646,0.0582,0.0543,0.0453,0.0388,0.0364,0.0539,0.0423
0000000000000000093e_0,0,0.0826,0.04415,0.0386,0.0363,0.0818,0.027,0.0778,0.0295,0.0489,0.0365
000000000000000008a6_0,0,0.0354,0.0457,0.04045,0.0331,0.03255,0.02825,0.0353,0.0294,0.031,0.0296
00000000000000000021_0,0,0.0343,0.0253,0.0373,0.0371,0.0286,0.02255,0.057,0.02795,0.0293,0.0166499999999999
00000000000000000433_0,0,0.0719,0.03365,0.0316,0.0227,0.0357,0.0306,0.04725,0.03355,0.024,0.02145
000000000000000008b2_0,0,0.1295,0.0556,0.062,0.06915,0.05915,0.0463,0.0422,0.0451,0.06605,0.0471
000000000000000008d2_0,0,0.07325,0.06135,0.05325,0.0524,0.12115,0.05895,0.0723,0.0552,0.0948,0.0581
0000000000000000001d_0,0,0.0611,0.0606,0.0518,0.0373,0.0361,0.0484,0.0485,0.0454,0.2038,0.0373
0000000000000000043e_0,0,0.043,0.0251,0.0304,0.0283,0.0378,0.03245,0.1001,0.0482,0.03555,0.0312
00000000000000000453_0,0,0.0558,0.044,0.0524,0.0384,0.0562,0.042,0.0718,0.03785,0.0838,0.0357
000000000000000005b8_0,0,0.1126,0.0361,0.0489,0.1535,0.23125,0.1905,0.1699,0.19395,0.1868,0.1238
00000000000000000084_0,0,0.0482,0.0437,0.0482,0.0459,0.04605,0.0417,0.0404,0.03395,0.0466,0.0445
00000000000000000475_0,0,0.04775,0.0427,0.0528,0.0432,0.0413,0.0353,0.0384,0.0357,0.0409,0.0336
0000000000000000004d_0,0,0.0499,0.0504,0.05595,0.0555,0.04055,0.0378,0.0313,0.0224,0.0875,0.0452
0000000000000000045b_0,0,0.0308,0.0263,0.0321,0.0329,0.03125,0.02805,0.0255,0.0221,0.0302,0.0239
000000000000000000d4_0,0,0.0388,0.0533,0.049,0.0543,0.0652,0.0557,0.0606,0.0536,0.0688,0.045
000000000000000004a5_0,0,0.0884,0.044,0.0427499999999999,0.0428,0.0682,0.0526,0.0646,0.0422,0.1382,0.0376
00000000000000000070_0,0,0.04365,0.0315,0.0367,0.0512,0.0401,0.02795,0.0286,0.03025,0.0298,0.0287
00000000000000000157_0,0,0.0454,0.0425,0.0567,0.0719,0.0644,0.11945,0.1014,0.0693,0.0733,0.0777
00000000000000000447_0,0,0.039,0.0378,0.0416,0.0336,0.04245,0.0318,0.0398,0.0307,0.0523,0.0339
00000000000000000460_0,0,0.03995,0.0359,0.0486,0.0416,0.04705,0.0448,0.0336,0.03485,0.0466,0.02085
0000000000000000043f_0,0,0.0423,0.0364499999999999,0.0435,0.0328,0.03025,0.03235,0.0424999999999999,0.0427,0.1514,0.21295
00000000000000000483_0,0,0.041,0.0346,0.0558,0.0406,0.0355,0.03015,0.03185,0.02555,0.0559,0.0287
00000000000000000086_0,0,0.075,0.04385,0.0486,0.05185,0.0567,0.029,0.0447,0.047,0.1004,0.0281
000000000000000004d7_0,0,0.05,0.0455,0.0587,0.0603999999999999,0.05395,0.0431,0.043,0.0358,0.0796,0.0441
000000000000000004c3_0,0,0.0537,0.05875,0.0537,0.0596,0.08135,0.0592,0.0477,0.04255,0.0681,0.0475
00000000000000000467_0,0,0.04195,0.0453,0.0511,0.0488,0.046,0.0318,0.0359,0.075,0.0592,0.0383
00000000000000000454_0,0,0.03015,0.027,0.0325,0.02885,0.02945,0.0522,0.0369,0.0174,0.0236,0.0213
000000000000000000c9_0,0,0.05255,0.0944,0.1062,0.1052,0.0954,0.03365,0.04455,0.04435,0.0772,0.0924
0000000000000000049b_0,0,0.03595,0.0477,0.0529,0.052,0.0734,0.05445,0.0895,0.0577,0.09,0.0873
000000000000000004c4_0,0,0.059,0.0521,0.0591,0.0494,0.0651,0.0522,0.1008,0.0609,0.0955,0.0541
00000000000000000959_0,0,0.10405,0.02915,0.0373,0.0268,0.08675,0.02505,0.0282,0.0215,0.02215,0.0182
00000000000000000a58_0,0,0.03985,0.05155,0.042,0.0505,0.05515,0.05695,0.0494,0.0326,0.0672,0.0338
00000000000000000474_0,0,0.04115,0.0353,0.0823,0.0449,0.0423,0.0545,0.042,0.0549,0.0804,0.0559
000000000000000000cc_0,0,0.0702,0.0595,0.0548,0.0725,0.0775,0.0804,0.0747,0.057,0.1119,0.0922
00000000000000000105_0,0,0.05145,0.05785,0.0527,0.05705,0.0539,0.0484,0.06,0.049,0.0661,0.0476
00000000000000000016_0,0,0.0386,0.0199,0.0392,0.02535,0.033,0.02425,0.0608,0.0273,0.0447,0.0225
0000000000000000045f_0,0,0.0601,0.0429,0.0497,0.03595,0.04145,0.0341,0.0422,0.02685,0.0397,0.0337
00000000000000000009_0,0,0.0401,0.02535,0.0466,0.0217,0.03305,0.0267,0.03845,0.03305,0.0253,0.0139
0000000000000000000d_0,0,0.06305,0.0294,0.04145,0.0254,0.0326,0.02875,0.03885,0.0188,0.0386,0.0288
00000000000000000011_0,0,0.0449,0.0375,0.04345,0.0378,0.0471,0.0393,0.0335,0.0379,0.0606,0.0227
0000000000000000095a_0,0,0.04375,0.0389,0.0409,0.0406,0.0392,0.0353,0.04305,0.03985,0.0391,0.0287
0000000000000000095b_0,0,0.04805,0.0469,0.04425,0.0373,0.0399,0.0368,0.0393,0.031,0.0359,0.0347
0000000000000000009a_0,0,0.0692,0.0461,0.0637,0.0476,0.0683,0.0381,0.0638,0.05495,0.0842,0.0445
00000000000000000477_0,0,0.0452,0.0475,0.0494,0.0395,0.0379,0.02675,0.0483,0.0462,0.0442,0.0419
00000000000000000882_0,0,0.0384,0.0256999999999999,0.0337,0.0213,0.0368,0.0322,0.03685,0.0244,0.0773,0.0316
00000000000000000060_0,0,0.02805,0.02795,0.0412,0.0284,0.0352,0.0252,0.03385,0.0347,0.1073,0.0987
0000000000000000095c_0,0,0.06575,0.04475,0.0395,0.03955,0.0424,0.03335,0.0389,0.0321,0.0342,0.0367
000000000000000004c9_0,0,0.0517,0.03485,0.0452,0.08355,0.0661,0.09475,0.0947,0.07875,0.0927,0.0712
00000000000000000914_0,0,0.06645,0.04755,0.0393,0.0473,0.0924,0.16,0.1744,0.1663,0.1637,0.1781
0000000000000000015f_0,0,0.0654,0.06345,0.0631,0.0767,0.0936,0.0811,0.1430999999999999,0.06885,0.1089,0.064
000000000000000001e3_0,0,0.0884,0.0612,0.0515,0.0764,0.0664,0.0517,0.0616,0.064,0.0829,0.0512
00000000000000000941_0,0,0.0768,0.03885,0.0376,0.0238,0.0318,0.0208,0.0286,0.0234,0.034,0.0219
00000000000000000010_0,0,0.0602,0.0317,0.0381,0.031,0.0854,0.0294,0.0303,0.02015,0.0507,0.05395
00000000000000000063_0,0,0.1208,0.0752,0.0692,0.0546,0.0487,0.03985,0.05115,0.0361,0.0522,0.0306
000000000000000008f2_0,0,0.0319,0.0475,0.0454,0.0422,0.03345,0.0297,0.0268,0.03,0.04155,0.05665
00000000000000000859_0,0,0.0415,0.0417,0.04675,0.04835,0.06485,0.0425,0.04355,0.03325,0.0498,0.03355
00000000000000000000_0,0,0.059,0.0341,0.03045,0.0267,0.0435,0.0346,0.084,0.05155,0.0657,0.0558
0000000000000000045d_0,0,0.0791999999999999,0.0432,0.0511,0.043,0.04955,0.0361,0.0455,0.0303,0.0519,0.0354
00000000000000000435_0,0,0.0276,0.01875,0.02855,0.0247,0.0212,0.0262,0.029,0.0266,0.042,0.05015
00000000000000000039_0,0,0.04865,0.03665,0.0478,0.0278,0.0553,0.02745,0.0296,0.0423,0.043,0.0286
00000000000000000456_0,0,0.0628,0.0483,0.05155,0.05435,0.052,0.0501,0.0445,0.03755,0.0348,0.033
00000000000000000917_0,0,0.1489,0.0486,0.0531,0.0498,0.0596,0.0404,0.0614,0.0404,0.0451,0.0389
00000000000000000064_0,0,0.04385,0.0616,0.057,0.0436,0.03985,0.04895,0.068,0.0588,0.0788,0.0569
00000000000000000188_0,0,0.07955,0.068,0.0711,0.0715,0.0728,0.0569,0.0619,0.05175,0.0771,0.0529
0000000000000000084e_0,0,0.0362,0.0458,0.0473,0.0397,0.0585,0.0326,0.0389,0.0308,0.03315,0.0265
00000000000000000253_0,0,0.0524,0.0505,0.0542,0.04975,0.0624,0.0988,0.0895,0.0646,0.0915,0.1562
00000000000000000058_0,0,0.0401,0.0304,0.0395,0.0372,0.0395,0.0361,0.0408,0.0285,0.03945,0.0228
000000000000000000f5_0,0,0.10835,0.08235,0.0595,0.0608,0.1276,0.0392,0.0512,0.0427499999999999,0.0593,0.0322
0000000000000000017e_0,0,0.07425,0.0758,0.0659,0.0716,0.0861,0.06555,0.0796,0.0661,0.0737,0.0825
000000000000000004a0_0,0,0.0568,0.0573,0.0595,0.0467,0.0491,0.03425,0.0442,0.03985,0.0493,0.0323
00000000000000000061_0,0,0.033,0.0477,0.0524,0.0376,0.0431,0.0354,0.0489,0.0989,0.0910499999999999,0.07885
000000000000000004c5_0,0,0.0516,0.06015,0.0531,0.0487,0.0459,0.0356,0.0423,0.0293,0.04335,0.0319
