system:index,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1
000000000000000000b9_0,0.15130000000000000,0.23290000000000000,0,0.3854,0.3579,0.5504,0.45370000000000000
000000000000000000ba_0,0.1126,0.15080000000000000,0,0.25515,0.17215000000000000,0.25965000000000000,0.1881
000000000000000000bd_0,0.0749,0.0892,0,0.0249,0.05785,0.011800000000000000,0.007850000000000000
000000000000000000c0_0,0.051800000000000000,0.0718,0,0.2268,0.06860000000000000,0.17950000000000000,0.1263
000000000000000000c1_0,0.059800000000000000,0.0825,0,0.2503,0.063,0.189,0.1012
000000000000000000c2_0,0.1231,0.1436,0,0.2088,0.1569,0.2336,0.1976
000000000000000000c6_0,0.098,0.1174,0,0.20980000000000000,0.1336,0.2521,0.22410000000000000
000000000000000000ca_0,0.0586,0.07055,0,0.31755,0.0557,0.17955,0.09425
000000000000000000cd_0,0.1136,0.13335000000000000,0,0.22065,0.13575,0.21385,0.18635000000000000
000000000000000000ce_0,0.08805,0.1269,0,0.22765000000000000,0.1522,0.25195,0.19985000000000000
000000000000000000cf_0,0.07415000000000000,0.08745,0,0.24330000000000000,0.08525,0.19445,0.13025
000000000000000000d0_0,0.09825,0.1261,0,0.02535,0.10120000000000000,0.01815,0.0151
000000000000000000d2_0,0.14930000000000000,0.17985,0,0.24680000000000000,0.19215000000000000,0.26105,0.22845000000000000
000000000000000000d5_0,0.01875,0.03715,0,0.22300000000000000,0.022,0.0959,0.04240000000000000
000000000000000000d7_0,0.058,0.07855000000000000,0,0.2813,0.06935,0.23550000000000000,0.1406
000000000000000000d8_0,0.08030000000000000,0.0922,0,0.0767,0.0951,0.065,0.054200000000000000
000000000000000000da_0,0.060500000000000000,0.0835,0,0.2063,0.0785,0.128,0.08410000000000000
000000000000000000db_0,0.048850000000000000,0.08045000000000000,0,0.47005,0.0432,0.26105,0.1177
000000000000000000dc_0,0.10070000000000000,0.1263,0,0.30210000000000000,0.08940000000000000,0.19310000000000000,0.09960000000000000
000000000000000000de_0,0.1066,0.1277,0,0.036000000000000000,0.1028,0.0121,0.00885
000000000000000000e0_0,0.0777,0.1,0,0.0354,0.09680000000000000,0.0171,0.012400000000000000
